Id,drug,condition,numOfInstances,averageRating
1676,MoviPrep,"Constipation, Chronic",3,9.333333333333334
1677,Enbrel,Rheumatoid Arthritis,54,8.351851851851851
1678,Enbrel,Ankylosing Spondylitis,27,8.11111111111111
1679,Enbrel,Psoriatic Arthritis,25,8.0
1680,Enbrel,Psoriasis,19,7.842105263157895
1681,Enbrel,Juvenile Rheumatoid Arthritis,8,7.875
1682,Enbrel,Plaque Psoriasis,7,8.428571428571429
1683,Enbrel,Juvenile Idiopathic Arthritis,2,10.0
1684,Enbrel,Behcet's Disease,1,4.0
1685,Enbrel,Still's Disease,1,9.0
1686,Invokana,"Diabetes, Type 2",143,6.111888111888112
1687,Metoclopramide,Migraine,59,4.830508474576271
1688,Metoclopramide,Nausea/Vomiting,45,3.7777777777777777
1689,Metoclopramide,Gastroparesis,19,5.7368421052631575
1690,Metoclopramide,GERD,11,5.181818181818182
1691,Metoclopramide,Lactation Augmentation,5,6.8
1692,Metoclopramide,"Nausea/Vomiting, Chemotherapy Induced",1,10.0
1693,Metoclopramide,"Nausea/Vomiting, Postoperative",1,10.0
1694,Metoclopramide,Not Listed / Othe,1,8.0
1695,Guaifenesin / pseudoephedrine,Cough and Nasal Congestion,142,6.683098591549296
1696,Carisoprodol,Muscle Spasm,131,9.16793893129771
1697,Carisoprodol,Nocturnal Leg Cramps,6,9.833333333333334
1698,Carisoprodol,Not Listed / Othe,1,10.0
1699,Ultram,Pain,80,6.225
1700,Ultram,ibromyalgia,20,6.8
1701,Ultram,Chronic Pain,18,5.111111111111111
1702,Ultram,Back Pain,16,8.0625
1703,Ultram,Restless Legs Syndrome,5,7.0
1704,Ultram,Rheumatoid Arthritis,1,8.0
1705,Otezla,Plaque Psoriasis,101,5.851485148514851
1706,Otezla,Psoriatic Arthritis,39,4.948717948717949
1707,Flagyl,Bacterial Infection,73,6.7534246575342465
1708,Flagyl,Diverticulitis,38,6.578947368421052
1709,Flagyl,Trichomoniasis,8,7.5
1710,Flagyl,Dental Abscess,6,8.833333333333334
1711,Flagyl,Clostridial Infection,4,6.25
1712,Flagyl,Helicobacter Pylori Infection,3,6.0
1713,Flagyl,Intraabdominal Infection,2,6.0
1714,Flagyl,Bacterial Vaginitis,1,10.0
1715,Flagyl,"Crohn's Disease, Acute",1,9.0
1716,Flagyl,Skin or Soft Tissue Infection,1,1.0
1717,Flagyl,Giardiasis,1,9.0
1718,Flagyl,"Crohn's Disease, Maintenance",1,10.0
1719,Lubiprostone,"Constipation, Chronic",83,6.891566265060241
1720,Lubiprostone,Irritable Bowel Syndrome,35,6.428571428571429
1721,Lubiprostone,"Constipation, Drug Induced",10,5.9
1722,Lubiprostone,Opioid-Induced Constipation,4,4.25
1723,Lubiprostone,Constipation,3,2.3333333333333335
1724,Cefdinir,Sinusitis,62,3.9516129032258065
1725,Cefdinir,Otitis Media,30,4.333333333333333
1726,Cefdinir,Bronchitis,23,4.304347826086956
1727,Cefdinir,Strep Throat,11,3.4545454545454546
1728,Cefdinir,Tonsillitis/Pharyngitis,4,6.0
1729,Cefdinir,Skin and Structure Infection,3,2.6666666666666665
1730,Cefdinir,Pneumonia,3,6.333333333333333
1731,Cefdinir,Skin or Soft Tissue Infection,2,5.0
1732,Oxymorphone,Pain,136,7.8161764705882355
1733,Ortho Tri-Cyclen,Birth Control,87,5.793103448275862
1734,Ortho Tri-Cyclen,Acne,39,5.641025641025641
1735,Ortho Tri-Cyclen,Abnormal Uterine Bleeding,6,6.333333333333333
1736,Ortho Tri-Cyclen,Ovarian Cysts,5,5.6
1737,Bydureon,"Diabetes, Type 2",136,7.0588235294117645
1738,Neurontin,Pain,28,6.214285714285714
1739,Neurontin,ibromyalgia,20,6.4
1740,Neurontin,Peripheral Neuropathy,18,6.833333333333333
1741,Neurontin,Migraine,15,8.466666666666667
1742,Neurontin,Postherpetic Neuralgia,10,9.0
1743,Neurontin,Anxiety,9,8.0
1744,Neurontin,Bipolar Disorde,6,8.666666666666666
1745,Neurontin,Restless Legs Syndrome,6,8.833333333333334
1746,Neurontin,Insomnia,5,8.2
1747,Neurontin,Trigeminal Neuralgia,4,8.25
1748,Neurontin,Reflex Sympathetic Dystrophy Syndrome,3,8.0
1749,Neurontin,Benign Essential Trem,2,5.0
1750,Neurontin,Alcohol Withdrawal,2,9.5
1751,Neurontin,Epilepsy,2,9.0
1752,Neurontin,Vulvodynia,2,8.0
1753,Neurontin,Hot Flashes,2,8.5
1754,Neurontin,Diabetic Peripheral Neuropathy,1,8.0
1755,Neurontin,Periodic Limb Movement Disorde,1,7.0
1756,Amitiza,"Constipation, Chronic",79,6.6835443037974684
1757,Amitiza,Irritable Bowel Syndrome,36,6.083333333333333
1758,Amitiza,"Constipation, Drug Induced",12,5.833333333333333
1759,Amitiza,Opioid-Induced Constipation,5,3.6
1760,Amitiza,Constipation,4,1.25
1761,Dapsone,Acne,127,7.2362204724409445
1762,Dapsone,mis,5,9.2
1763,Dapsone,Leukocytoclastic Vasculitis,2,5.0
1764,Dapsone,Linear IgA Disease,1,10.0
1765,Bactrim DS,Urinary Tract Infection,63,5.777777777777778
1766,Bactrim DS,Bacterial Skin Infection,18,4.555555555555555
1767,Bactrim DS,Acne,15,8.533333333333333
1768,Bactrim DS,Sinusitis,14,4.928571428571429
1769,Bactrim DS,Bacterial Infection,11,4.181818181818182
1770,Bactrim DS,Upper Respiratory Tract Infection,4,3.25
1771,Bactrim DS,Prostatitis,4,5.5
1772,Bactrim DS,Kidney Infections,2,3.0
1773,Bactrim DS,Diverticulitis,1,8.0
1774,Bactrim DS,Bronchitis,1,6.0
1775,Bactrim DS,Infection Prophylaxis,1,7.0
1776,Bactrim DS,Nocardiosis,1,7.0
1777,Oxcarbazepine,Bipolar Disorde,75,8.093333333333334
1778,Oxcarbazepine,Trigeminal Neuralgia,22,8.5
1779,Oxcarbazepine,Seizures,16,6.75
1780,Oxcarbazepine,Anxiety,9,4.444444444444445
1781,Oxcarbazepine,Neuropathic Pain,4,6.75
1782,Oxcarbazepine,Not Listed / Othe,2,9.0
1783,Oxcarbazepine,Borderline Personality Disorde,1,7.0
1784,Oxcarbazepine,Cyclothymic Disorde,1,10.0
1785,Ropinirole,Restless Legs Syndrome,123,6.959349593495935
1786,Ropinirole,Periodic Limb Movement Disorde,6,2.5
1787,Ropinirole,Parkinson's Disease,3,6.333333333333333
1788,Tri-Previfem,Birth Control,86,4.965116279069767
1789,Tri-Previfem,Acne,28,5.678571428571429
1790,Tri-Previfem,Abnormal Uterine Bleeding,11,3.3636363636363638
1791,Tri-Previfem,Endometriosis,3,5.666666666666667
1792,Tri-Previfem,Ovarian Cysts,2,4.0
1793,Promethazine,Nausea/Vomiting,79,8.481012658227849
1794,Promethazine,Sedation,21,7.619047619047619
1795,Promethazine,Motion Sickness,7,7.285714285714286
1796,Promethazine,Opiate Adjunct,6,8.333333333333334
1797,Promethazine,Light Sedation,6,6.833333333333333
1798,Promethazine,Allergic Reactions,4,7.75
1799,Promethazine,Vertig,3,5.333333333333333
1800,Promethazine,Not Listed / Othe,1,10.0
1801,Promethazine,Allergic Rhinitis,1,10.0
1802,Acetaminophen / butalbital / caffeine,Headache,127,8.88976377952756
1803,Acetaminophen / butalbital / caffeine,Not Listed / Othe,1,10.0
1804,Aczone,Acne,129,7.294573643410852
1805,Lunesta,Insomnia,128,6.484375
1806,Methocarbamol,Muscle Spasm,107,5.869158878504673
1807,Methocarbamol,Opiate Withdrawal,18,7.888888888888889
1808,Methocarbamol,Not Listed / Othe,2,10.0
1809,Mononessa,Birth Control,101,6.2772277227722775
1810,Mononessa,Abnormal Uterine Bleeding,19,6.315789473684211
1811,Mononessa,Ovarian Cysts,4,7.25
1812,Mononessa,Endometriosis,4,7.25
1813,Levocetirizine,Allergies,75,5.426666666666667
1814,Levocetirizine,Allergic Rhinitis,25,8.32
1815,Levocetirizine,Urticaria,24,8.833333333333334
1816,Levocetirizine,Not Listed / Othe,1,10.0
1817,Guanfacine,ADHD,119,5.890756302521009
1818,Guanfacine,High Blood Pressure,4,6.75
1819,Guanfacine,Tourette's Syndrome,3,7.0
1820,Moxifloxacin,Sinusitis,41,6.585365853658536
1821,Moxifloxacin,Pneumonia,30,8.333333333333334
1822,Moxifloxacin,Bronchitis,22,6.7272727272727275
1823,Moxifloxacin,Bacterial Infection,17,5.411764705882353
1824,Moxifloxacin,"Conjunctivitis, Bacterial",8,6.75
1825,Moxifloxacin,Ophthalmic Surgery,3,6.666666666666667
1826,Moxifloxacin,Prostatitis,3,7.0
1827,Moxifloxacin,Skin and Structure Infection,1,8.0
1828,Moxifloxacin,Intraabdominal Infection,1,8.0
1829,Seroquel XR,Bipolar Disorde,62,7.725806451612903
1830,Seroquel XR,Depression,35,7.314285714285714
1831,Seroquel XR,Major Depressive Disorde,6,6.666666666666667
1832,Seroquel XR,Generalized Anxiety Disorde,5,7.0
1833,Seroquel XR,Insomnia,5,8.0
1834,Seroquel XR,Schizophrenia,4,8.25
1835,Seroquel XR,Schizoaffective Disorde,4,6.0
1836,Seroquel XR,Post Traumatic Stress Disorde,3,9.333333333333334
1837,Seroquel XR,Paranoid Disorde,1,9.0
1838,Gianvi,Birth Control,76,6.223684210526316
1839,Gianvi,Acne,22,7.7727272727272725
1840,Gianvi,Premenstrual Dysphoric Disorde,13,7.0
1841,Gianvi,Menstrual Disorders,12,5.416666666666667
1842,Gianvi,Polycystic Ovary Syndrome,1,9.0
1843,Dextromethorphan,Cough,122,3.7704918032786887
1844,Sodium hyaluronate,Osteoarthritis,116,6.5344827586206895
1845,Sodium hyaluronate,Dermatitis,2,9.5
1846,Sodium hyaluronate,"Burns, External",1,4.0
1847,Sodium hyaluronate,Not Listed / Othe,1,10.0
1848,Sodium hyaluronate,Dermatologic Lesion,1,10.0
1849,Remeron,Depression,77,7.961038961038961
1850,Remeron,Anxiety,18,7.277777777777778
1851,Remeron,Insomnia,16,7.25
1852,Remeron,Major Depressive Disorde,11,7.2727272727272725
1853,Zofran,Nausea/Vomiting,91,8.758241758241759
1854,Zofran,Gastroenteritis,18,9.333333333333334
1855,Zofran,"Nausea/Vomiting, Chemotherapy Induced",7,7.285714285714286
1856,Zofran,"Nausea/Vomiting, Postoperative",3,7.0
1857,Zofran,"Nausea/Vomiting, Radiation Induced",2,6.5
1858,Methotrexate,Psoriasis,50,8.6
1859,Methotrexate,Rheumatoid Arthritis,50,7.52
1860,Methotrexate,Psoriatic Arthritis,11,5.818181818181818
1861,Methotrexate,Ectopic Pregnancy,3,8.0
1862,Methotrexate,Systemic Sclerosis,1,10.0
1863,Methotrexate,Cogan's Syndrome,1,4.0
1864,Methotrexate,Eczema,1,8.0
1865,Methotrexate,Lymphoma,1,2.0
1866,Methotrexate,Gastric Cance,1,1.0
1867,Methotrexate,Neoplastic Diseases,1,7.0
1868,Methotrexate,Scleroderma,1,1.0
1869,Duac,Acne,120,7.55
1870,Nebivolol,High Blood Pressure,110,6.763636363636364
1871,Nebivolol,Mitral Valve Prolapse,5,8.4
1872,Nebivolol,Not Listed / Othe,2,8.5
1873,Diphenhydramine,Insomnia,64,6.46875
1874,Diphenhydramine,Allergic Reactions,21,7.904761904761905
1875,Diphenhydramine,Nausea/Vomiting,12,7.0
1876,Diphenhydramine,Allergic Rhinitis,9,6.666666666666667
1877,Diphenhydramine,Cold Symptoms,4,6.75
1878,Diphenhydramine,Urticaria,3,5.333333333333333
1879,Diphenhydramine,Cough,2,8.0
1880,Diphenhydramine,Motion Sickness,1,9.0
1881,Guaifenesin,ibromyalgia,50,8.36
1882,Guaifenesin,Cough,36,6.611111111111111
1883,Guaifenesin,Bronchitis,26,7.769230769230769
1884,Guaifenesin,Not Listed / Othe,2,8.0
1885,Fluvoxamine,Obsessive Compulsive Disorde,69,8.08695652173913
1886,Fluvoxamine,Anxiety and Stress,28,6.107142857142857
1887,Fluvoxamine,Depression,12,6.75
1888,Fluvoxamine,Post Traumatic Stress Disorde,3,5.333333333333333
1889,Fluvoxamine,Anorexia/Feeding Problems,2,8.5
1890,Fluvoxamine,Persistent Depressive Disorde,1,10.0
1891,Fluvoxamine,Social Anxiety Disorde,1,1.0
1892,Toradol,Pain,106,7.518867924528302
1893,Toradol,Postoperative Pain,10,6.3
1894,Amoxicillin,Bacterial Infection,27,6.962962962962963
1895,Amoxicillin,Urinary Tract Infection,17,7.529411764705882
1896,Amoxicillin,Dental Abscess,16,5.3125
1897,Amoxicillin,Tonsillitis/Pharyngitis,12,7.75
1898,Amoxicillin,Bronchitis,9,6.111111111111111
1899,Amoxicillin,Sinusitis,8,6.875
1900,Amoxicillin,Upper Respiratory Tract Infection,6,7.5
1901,Amoxicillin,Otitis Media,5,5.2
1902,Amoxicillin,Pneumonia,4,9.0
1903,Amoxicillin,Bladder Infection,3,7.666666666666667
1904,Amoxicillin,Skin or Soft Tissue Infection,3,7.0
1905,Amoxicillin,Not Listed / Othe,3,9.333333333333334
1906,Amoxicillin,Helicobacter Pylori Infection,2,10.0
1907,Flomax,Benign Prostatic Hyperplasia,63,5.190476190476191
1908,Flomax,Urinary Tract Stones,44,8.477272727272727
1909,Flomax,Overactive Bladde,8,3.25
1910,Soma,Muscle Spasm,109,9.073394495412844
1911,Soma,Nocturnal Leg Cramps,6,10.0
1912,Keppra,Seizures,81,6.432098765432099
1913,Keppra,Epilepsy,29,6.275862068965517
1914,Keppra,New Daily Persistent Headache,2,6.0
1915,Keppra,Neuralgia,2,8.5
1916,Keppra,Bipolar Disorde,1,6.0
1917,Elavil,Migraine Prevention,27,7.962962962962963
1918,Elavil,Pain,22,7.681818181818182
1919,Elavil,Insomnia,16,7.9375
1920,Elavil,ibromyalgia,14,5.785714285714286
1921,Elavil,Depression,9,8.222222222222221
1922,Elavil,Anxiety and Stress,9,9.88888888888889
1923,Elavil,Interstitial Cystitis,7,8.0
1924,Elavil,Vulvodynia,4,7.75
1925,Elavil,Cyclic Vomiting Syndrome,3,9.0
1926,Elavil,Post Traumatic Stress Disorde,2,9.0
1927,Elavil,Somatoform Pain Disorde,1,10.0
1928,Elavil,Persistent Depressive Disorde,1,9.0
1929,Atenolol,High Blood Pressure,62,6.693548387096774
1930,Atenolol,Anxiety,19,7.578947368421052
1931,Atenolol,Migraine Prevention,13,8.846153846153847
1932,Atenolol,Ventricular Tachycardia,6,8.166666666666666
1933,Atenolol,Supraventricular Tachycardia,5,7.8
1934,Atenolol,Mitral Valve Prolapse,4,9.75
1935,Atenolol,Not Listed / Othe,3,8.333333333333334
1936,Atenolol,Alcohol Withdrawal,1,7.0
1937,Atenolol,Angina,1,9.0
1938,Risperdal,Bipolar Disorde,41,7.0
1939,Risperdal,Schizophrenia,20,5.0
1940,Risperdal,Schizoaffective Disorde,15,6.733333333333333
1941,Risperdal,Autism,13,4.3076923076923075
1942,Risperdal,Post Traumatic Stress Disorde,5,9.0
1943,Risperdal,Depression,5,6.2
1944,Risperdal,Borderline Personality Disorde,4,8.5
1945,Risperdal,Mania,3,8.0
1946,Risperdal,Paranoid Disorde,2,1.5
1947,Risperdal,Social Anxiety Disorde,2,10.0
1948,Risperdal,Asperger Syndrome,2,7.0
1949,Risperdal,Nightmares,1,1.0
1950,Risperdal,Head Injury,1,10.0
1951,Hydroxychloroquine,Rheumatoid Arthritis,47,6.531914893617022
1952,Hydroxychloroquine,Systemic Lupus Erythematosus,26,7.730769230769231
1953,Hydroxychloroquine,Sjogren's Syndrome,22,6.818181818181818
1954,Hydroxychloroquine,Undifferentiated Connective Tissue Disease,10,6.2
1955,Hydroxychloroquine,Dermatomyositis,4,9.0
1956,Hydroxychloroquine,"Lyme Disease, Arthritis",4,8.75
1957,Hydroxychloroquine,Not Listed / Othe,1,7.0
1958,Mucinex D,Cough and Nasal Congestion,114,6.385964912280702
1959,Imitrex,Migraine,97,8.010309278350515
1960,Imitrex,Cluster Headaches,16,8.875
1961,Imitrex,New Daily Persistent Headache,1,9.0
1962,Polyethylene glycol 3350,Constipation,97,8.835051546391753
1963,Polyethylene glycol 3350,"Constipation, Acute",9,8.88888888888889
1964,Polyethylene glycol 3350,Bowel Preparation,6,5.166666666666667
1965,Flexeril,Muscle Spasm,76,6.473684210526316
1966,Flexeril,Sciatica,16,6.375
1967,Flexeril,ibromyalgia,10,7.8
1968,Flexeril,Migraine,8,7.0
1969,Flexeril,Temporomandibular Joint Disorde,3,7.666666666666667
1970,Armour Thyroid,Underactive Thyroid,65,7.6923076923076925
1971,Armour Thyroid,Hashimoto's disease,32,7.9375
1972,Armour Thyroid,"Hypothyroidism, After Thyroid Removal",12,7.0
1973,Armour Thyroid,Thyroid Cance,2,6.0
1974,Armour Thyroid,TSH Suppression,1,10.0
1975,Dicyclomine,Irritable Bowel Syndrome,106,7.688679245283019
1976,Dicyclomine,Noninfectious Colitis,4,8.75
1977,Adderall XR,ADHD,107,8.14018691588785
1978,Adderall XR,Narcolepsy,4,9.5
1979,Xyzal,Allergies,65,4.569230769230769
1980,Xyzal,Urticaria,24,8.291666666666666
1981,Xyzal,Allergic Rhinitis,22,7.818181818181818
1982,Voltaren Gel,Pain,74,7.837837837837838
1983,Voltaren Gel,Osteoarthritis,37,8.405405405405405
1984,Reclipsen,Birth Control,111,5.837837837837838
1985,Fluticasone,Allergic Rhinitis,44,6.181818181818182
1986,Fluticasone,Rhinitis,40,7.6
1987,Fluticasone,"Asthma, Maintenance",15,6.666666666666667
1988,Fluticasone,Nasal Polyps,4,9.25
1989,Fluticasone,Atopic Dermatitis,3,8.666666666666666
1990,Fluticasone,Lichen Sclerosus,2,9.5
1991,Fluticasone,Not Listed / Othe,1,2.0
1992,Vistaril,Anxiety,94,5.712765957446808
1993,Vistaril,Pain,6,5.333333333333333
1994,Vistaril,Sedation,5,6.6
1995,Vistaril,Nausea/Vomiting,2,9.5
1996,Vistaril,Allergic Urticaria,2,9.5
1997,Vistaril,Allergies,1,9.0
1998,Provigil,Narcolepsy,56,6.982142857142857
1999,Provigil,Obstructive Sleep Apnea/Hypopnea Syndrome,17,8.352941176470589
2000,Provigil,Multiple Sclerosis,13,9.538461538461538
2001,Provigil,Shift Work Sleep Disorde,9,9.555555555555555
2002,Provigil,Chronic Fatigue Syndrome,5,7.0
2003,Provigil,Depression,4,9.0
2004,Provigil,ADHD,4,9.0
2005,Provigil,Hypersomnia,2,9.5
2006,Chateal,Birth Control,103,6.135922330097087
2007,Chateal,Polycystic Ovary Syndrome,3,6.0
2008,Chateal,Endometriosis,2,2.5
2009,Chateal,Premenstrual Syndrome,1,3.0
2010,Chateal,Abnormal Uterine Bleeding,1,3.0
2011,Triamcinolone,Allergic Rhinitis,43,6.651162790697675
2012,Triamcinolone,Dermatitis,14,9.928571428571429
2013,Triamcinolone,Alopecia,9,8.666666666666666
2014,Triamcinolone,Atopic Dermatitis,8,9.25
2015,Triamcinolone,Psoriasis,8,7.75
2016,Triamcinolone,Osteoarthritis,7,5.714285714285714
2017,Triamcinolone,Allergic Reactions,3,9.666666666666666
2018,Triamcinolone,Rheumatoid Arthritis,3,10.0
2019,Triamcinolone,Not Listed / Othe,2,5.0
2020,Triamcinolone,Asthma,2,9.5
2021,Triamcinolone,Lichen Planus,2,3.5
2022,Triamcinolone,Neuritis,1,7.0
2023,Triamcinolone,Sarcoidosis,1,8.0
2024,Triamcinolone,Systemic Lupus Erythematosus,1,10.0
2025,Triamcinolone,Pityriasis rubra pilaris,1,10.0
2026,Triamcinolone,Aphthous Ulce,1,10.0
2027,Triamcinolone,Eczema,1,10.0
2028,Triamcinolone,Gouty Arthritis,1,10.0
2029,Triamcinolone,Iritis,1,10.0
2030,Meclizine,Vertig,74,7.3108108108108105
2031,Meclizine,Motion Sickness,27,8.555555555555555
2032,Meclizine,Nausea/Vomiting,7,9.0
2033,Meclizine,Not Listed / Othe,2,7.0
2034,Dexlansoprazole,GERD,85,6.91764705882353
2035,Dexlansoprazole,Barrett's Esophagus,13,8.76923076923077
2036,Dexlansoprazole,Erosive Esophagitis,9,8.777777777777779
2037,Celecoxib,Osteoarthritis,49,7.755102040816326
2038,Celecoxib,Pain,42,7.5
2039,Celecoxib,Rheumatoid Arthritis,11,7.2727272727272725
2040,Celecoxib,Period Pain,2,8.0
2041,Celecoxib,Not Listed / Othe,1,8.0
2042,Celecoxib,Juvenile Rheumatoid Arthritis,1,8.0
2043,Celecoxib,Ankylosing Spondylitis,1,8.0
2044,Viagra,Erectile Dysfunction,102,8.794117647058824
2045,Viagra,"Sexual Dysfunction, SSRI Induced",7,8.714285714285714
2046,Infliximab,"Crohn's Disease, Maintenance",25,7.72
2047,Infliximab,Ulcerative Colitis,21,7.142857142857143
2048,Infliximab,Rheumatoid Arthritis,18,8.277777777777779
2049,Infliximab,"Crohn's Disease, Acute",10,6.6
2050,Infliximab,Crohn's Disease,10,5.5
2051,Infliximab,Psoriatic Arthritis,7,8.571428571428571
2052,Infliximab,Ankylosing Spondylitis,6,7.0
2053,Infliximab,Behcet's Disease,4,9.5
2054,Infliximab,Psoriasis,3,9.666666666666666
2055,Infliximab,Uveitis,3,8.666666666666666
2056,Infliximab,Juvenile Idiopathic Arthritis,1,9.0
2057,Infliximab,Sjogren's Syndrome,1,5.0
2058,Acamprosate,Alcohol Dependence,109,8.899082568807339
2059,Cetirizine,Allergic Rhinitis,67,6.507462686567164
2060,Cetirizine,Urticaria,38,7.2368421052631575
2061,Cetirizine,Not Listed / Othe,2,8.0
2062,Butrans,Chronic Pain,59,6.508474576271187
2063,Butrans,Pain,48,7.291666666666667
2064,Levora,Birth Control,95,6.6947368421052635
2065,Levora,Endometriosis,4,4.0
2066,Levora,Abnormal Uterine Bleeding,4,4.25
2067,Levora,Ovarian Cysts,2,8.0
2068,Levora,Polycystic Ovary Syndrome,1,6.0
2069,Alesse,Birth Control,92,5.434782608695652
2070,Alesse,Abnormal Uterine Bleeding,7,4.142857142857143
2071,Alesse,Endometriosis,3,7.0
2072,Alesse,Polycystic Ovary Syndrome,2,6.5
2073,Generess Fe,Birth Control,104,6.884615384615385
2074,Paliperidone,Schizophrenia,51,6.019607843137255
2075,Paliperidone,Schizoaffective Disorde,33,6.151515151515151
2076,Paliperidone,Bipolar Disorde,15,6.933333333333334
2077,Paliperidone,Depression,3,7.0
2078,Paliperidone,Autism,1,10.0
2079,Remicade,Ulcerative Colitis,24,7.416666666666667
2080,Remicade,"Crohn's Disease, Maintenance",20,7.1
2081,Remicade,Rheumatoid Arthritis,19,8.052631578947368
2082,Remicade,Psoriatic Arthritis,9,8.666666666666666
2083,Remicade,Crohn's Disease,8,5.75
2084,Remicade,"Crohn's Disease, Acute",8,7.625
2085,Remicade,Ankylosing Spondylitis,7,7.0
2086,Remicade,Uveitis,4,9.0
2087,Remicade,Psoriasis,2,9.5
2088,Remicade,Spondyloarthritis,1,10.0
2089,Remicade,Juvenile Idiopathic Arthritis,1,9.0
2090,Remicade,Behcet's Disease,1,9.0
2091,Bystolic,High Blood Pressure,99,6.616161616161616
2092,Bystolic,Mitral Valve Prolapse,4,9.25
2093,Acetaminophen / codeine,Pain,94,4.946808510638298
2094,Acetaminophen / codeine,Cough,8,8.5
2095,Acetaminophen / codeine,Osteoarthritis,1,8.0
2096,Melatonin,Insomnia,101,6.881188118811881
2097,Melatonin,Not Listed / Othe,2,2.0
2098,Indomethacin,"Gout, Acute",73,8.315068493150685
2099,Indomethacin,Pain,9,6.555555555555555
2100,Indomethacin,Cluster Headaches,5,9.0
2101,Indomethacin,Ankylosing Spondylitis,4,8.75
2102,Indomethacin,Back Pain,3,7.0
2103,Indomethacin,Osteoarthritis,3,9.666666666666666
2104,Indomethacin,Rheumatoid Arthritis,2,8.5
2105,Indomethacin,Bursitis,2,8.0
2106,Indomethacin,Not Listed / Othe,1,8.0
2107,Indomethacin,zen Shoulde,1,10.0
2108,Avelox,Sinusitis,38,6.052631578947368
2109,Avelox,Pneumonia,27,8.851851851851851
2110,Avelox,Bronchitis,20,5.85
2111,Avelox,Bacterial Infection,12,5.833333333333333
2112,Avelox,Prostatitis,3,7.0
2113,Avelox,Intraabdominal Infection,1,8.0
2114,Avelox,Skin and Structure Infection,1,8.0
2115,Movantik,"Constipation, Drug Induced",84,4.25
2116,Movantik,Opioid-Induced Constipation,16,5.875
2117,Movantik,"Constipation, Chronic",2,1.0
2118,Levomilnacipran,Major Depressive Disorde,51,5.411764705882353
2119,Levomilnacipran,Depression,50,4.92
2120,Dexmethylphenidate,ADHD,97,7.443298969072165
2121,Dexmethylphenidate,Auditory Processing Disorde,4,6.25
2122,Naloxegol,"Constipation, Drug Induced",83,4.819277108433735
2123,Naloxegol,Opioid-Induced Constipation,15,4.733333333333333
2124,Naloxegol,"Constipation, Chronic",2,1.0
2125,Magnesium hydroxide,Constipation,90,8.71111111111111
2126,Magnesium hydroxide,Indigestion,6,8.666666666666666
2127,Magnesium hydroxide,Acne,3,8.333333333333334
2128,Reglan,Migraine,38,4.2368421052631575
2129,Reglan,Nausea/Vomiting,29,4.0344827586206895
2130,Reglan,Gastroparesis,18,6.055555555555555
2131,Reglan,GERD,9,5.333333333333333
2132,Reglan,Lactation Augmentation,4,5.25
2133,Reglan,"Nausea/Vomiting, Postoperative",1,10.0
2134,Hydrocodone,Pain,97,5.762886597938144
2135,Hydrocodone,Not Listed / Othe,2,8.5
2136,Euflexxa,Osteoarthritis,98,6.448979591836735
2137,Monistat 3-Day Combination Pack,Vaginal Yeast Infection,98,3.704081632653061
2138,Lortab,Pain,65,8.107692307692307
2139,Lortab,Back Pain,27,8.592592592592593
2140,Lortab,Rheumatoid Arthritis,4,8.75
2141,Lortab,Cough,1,10.0
2142,Acyclovir,Herpes Simplex,46,8.23913043478261
2143,Acyclovir,Cold Sores,25,8.32
2144,Acyclovir,"Herpes Simplex, Suppression",13,9.307692307692308
2145,Acyclovir,Herpes Zoste,6,8.5
2146,Acyclovir,Mononucleosis,2,10.0
2147,Acyclovir,Not Listed / Othe,2,8.5
2148,Acyclovir,"Herpes Simplex, Mucocutaneous/Immunocompetent Host",1,5.0
2149,Acyclovir,"Herpes Simplex, Mucocutaneous/Immunocompromised Host",1,8.0
2150,Dextroamphetamine,ADHD,68,8.691176470588236
2151,Dextroamphetamine,Narcolepsy,16,9.0
2152,Dextroamphetamine,"Sexual Dysfunction, SSRI Induced",6,9.5
2153,Dextroamphetamine,atigue,4,7.0
2154,Dextroamphetamine,Hypersomnia,2,7.0
2155,Hylan g-f 20,Osteoarthritis,94,6.361702127659575
2156,Pramipexole,Restless Legs Syndrome,85,7.576470588235294
2157,Pramipexole,Parkinson's Disease,6,4.833333333333333
2158,Pramipexole,Periodic Limb Movement Disorde,4,7.5
2159,Pramipexole,Not Listed / Othe,1,9.0
2160,Mirabegron,Overactive Bladde,76,5.171052631578948
2161,Mirabegron,Urinary Incontinence,20,5.4
2162,Differin,Acne,95,7.273684210526316
2163,Lidocaine,Pain,68,5.117647058823529
2164,Lidocaine,Neuropathic Pain,8,4.375
2165,Lidocaine,Hemorrhoids,6,7.0
2166,Lidocaine,Anesthesia,5,3.0
2167,Lidocaine,Postherpetic Neuralgia,3,2.3333333333333335
2168,Lidocaine,Sunburn,2,5.5
2169,Lidocaine,Costochondritis,1,10.0
2170,Lidocaine,"Burns, External",1,10.0
2171,Lidocaine,Manscaping Pain,1,10.0
2172,Brexpiprazole,Major Depressive Disorde,68,6.102941176470588
2173,Brexpiprazole,Depression,17,8.235294117647058
2174,Brexpiprazole,Schizophrenia,8,6.75
2175,Brexpiprazole,Not Listed / Othe,1,6.0
2176,Celebrex,Osteoarthritis,40,7.85
2177,Celebrex,Pain,39,8.102564102564102
2178,Celebrex,Rheumatoid Arthritis,14,8.428571428571429
2179,Celebrex,Period Pain,1,7.0
2180,Celebrex,Ankylosing Spondylitis,1,8.0
